Contact,AccountId,Salutation,FirstName,LastName,OtherStreet,OtherCity,OtherState,OtherPostalCode,OtherCountry,MailingStreet,MailingCity,MailingState,MailingPostalCode,MailingCountry,Phone,Fax,MobilePhone,HomePhone,OtherPhone,AssistantPhone,Email,Title,Department,AssistantName,LeadSource,tth_Base_Loyalty_Points__c,tth_Loyalty_Program_Number__c,tth_Loyalty_Status__c,tth_Next_Loyalty_Level_Threshold__c,tth_Business_Traveler__c,tth_Medical_Alerts__c,tth_Personal_Traveler__c,tth_preference_air_Pref_Dep_Airport__c,tth_preference_air_Seat__c,tth_preference_air_Seat_Section__c,tth_preference_air_Special_Meals__c,tth_preference_hotel_Accessibility_Needs__c,tth_preference_hotel_Hotel_Amenities__c,tth_preference_hotel_Room_Type__c,tth_preference_hotel_Smoking_Preference__c,tth_preference_rental_Car_Transmission__c,tth_preference_rental_Car_Type__c,tth_preference_rental_Smoking_Preference__c,tth_Traveler_Value_Score__c,tth_VIP_Traveler__c,Cust360_ChurnRisk__c,Cust360_Contact_Picture_URL__c,Cust360_CSAT__c,Cust360_Id__c,Cust360_Metric1__c,Cust360_Metric2__c,tth_Trip_Stage__c,tth_Trip_Sub_Stage__c,tth_Experiencing_Trip_Disruption__c
Contact.012,Account.006,Mr.,Mark,Metz,178 San Jose Ave,Santa Clara,CA,95125,United States,178 San Jose Ave,Santa Clara,CA,95125,United States,(747) 555-0100,(747) 555-0199,(747) 555-0188,747-784-1873,(747) 555-0191,(747) 555-0150,mmetz@example.com,Chief Executive Officer,C-Level,Adrian Masterson,Cold Call,258739,461 282 9376,Silver,15000,No,,No,LAX,Middle,Rear,Low Calorie Meal,,,Disability,Non-Smoking,Automatic,Any Car Class,Non-Smoking,435,No,16,,4,208648569-935,Silver,435,PostTrip,Positive Sentiment,0
Contact.013,Account.006,Mr.,Keith,Lopez,178 San Jose Ave,Santa Clara,CA,95125,US,178 San Jose Ave,Santa Clara,CA,95125,US,(528) 555-0100,(528) 555-0199,(528) 555-0188,528-389-6767,(528) 555-0191,(528) 555-0150,klopez@example.com,Marketing Manager,Marketing,Nolan Simcox,Cold Call,31916,571 900 9494,Silver,15000,No,,Yes,LAX,Middle,Rear,Fruit Platter,,,King,Non-Smoking,Don't Care,Full-size Car,Non-Smoking,552,Yes,81,,2,284437240-543,Silver,552,PreTrip,No Future Booking,0
Contact.014,Account.006,Mr.,Al,Miller,178 San Jose Ave,Santa Clara,CA,95125,US,178 San Jose Ave,Santa Clara,CA,95125,US,(879) 555-0100,(879) 555-0199,(879) 555-0188,879-396-0181,(879) 555-0191,(879) 555-0150,amiller@example.com,Director of Purchasing,Operations,Gonzalo Rutz,Referral,0,,Non-Member,15000,Yes,,Yes,SFO,Middle,Forward,Regular Meal,,,Queen,Non-Smoking,Manual,Intermediate Car,Non-Smoking,281,No,71,,1,693038003-192,Non-Member,281,PostTrip,Positive Sentiment,0
Contact.015,Account.006,Mr.,Jeff,Kane,178 San Jose Ave,Santa Clara,CA,95125,US,178 San Jose Ave,Santa Clara,CA,95125,US,(385) 555-0100,(385) 555-0199,(385) 555-0188,385-218-7039,(385) 555-0191,(385) 555-0150,jkane@example.com,"Director, Accounting",Finance,Mason Gildersleeve,Social Media,0,,Non-Member,15000,No,,Yes,SFO,Window,Rear,Regular Meal,,,Queen,Don't Care,Automatic,Any Car Class,Don't Care,252,No,73,,2,578299067-388,Non-Member,252,OnTrip,Experiencing Disruption,1
Contact.016,Account.006,Ms.,Kathy,Fitzpatrick,178 San Jose Ave,Santa Clara,CA,95125,US,730 Bounty Dr.,Foster City,CA,94404,US,(231) 555-0100,(231) 555-0199,(231) 555-0188,231-277-8689,(231) 555-0191,(231) 555-0150,kfitzpatrick@example.com,"Director, Human Resources",HR,Ashanti Bader,Referral,0,,Non-Member,15000,Yes,,Yes,LAX,Aisle,Rear,Fruit Platter,,,Queen,Smoking,Don't Care,Economy Car,Smoking,823,Yes,91,,0,476571315-690,Non-Member,823,PostTrip,Positive Sentiment,0
Contact.017,Account.006,Mr.,Ed,Flachbarth,178 San Jose Ave,Santa Clara,CA,95125,US,178 San Jose Ave,Santa Clara,CA,95125,US,(475) 555-0100,(475) 555-0199,(475) 555-0188,475-961-6615,(475) 555-0191,(475) 555-0150,eflachbarth@example.com,Administrative Assistant,Operations,Karissa Gatewood,Social Media,230732,270 267 1997,Bronze,15000,No,,No,LAX,Middle,Exit Row,Diabetic Meal,,,Twin,Don't Care,Manual,Full-size Car,Don't Care,393,No,74,,2,945539241-337,Bronze,393,OnTrip,Smooth Travels,0
Contact.018,Account.010,Ms.,Sarah,Jones,,,,,,240 E 3rd Ave,San Mateo,CA,94401,United States,(794) 555-0153,(794) 555-0182,,,,,sjones@example.com,Account Executive,,,,253988,487 197 8062,Gold,15000,Yes,,No,SFO,Aisle,Rear,Diabetic Meal,,,Disability,Non-Smoking,Manual,Intermediate SUV,Non-Smoking,773,Yes,75,,2,417666983-496,Gold,773,PostTrip,Positive Sentiment,0
Contact.019,Account.027,Mr.,May,Chan,,,,,,6217 Santa Teresa Blvd,San Jose,CA,95119,USA,(537) 555-0153,(537) 555-0182,,,,,mchan@example.com,CFO,,,,0,,Non-Member,15000,Yes,,Yes,SFO,Window,Forward,Low Calorie Meal,,,Single,Smoking,Manual,Intermediate SUV,Smoking,323,No,66,,3,127456228-463,Non-Member,323,PostTrip,Positive Sentiment,0
Contact.020,Account.022,Ms.,Lisa,Jones,47 S Galapago St,Denver,CO,80223,US,47 S Galapago St,Denver,CO,80223,US,(904) 555-0100,(904) 555-0199,(904) 555-0188,904-300-7149,(904) 555-0191,(904) 555-0150,ljones@example.com,Director of Public Relations,Operations,Katy Highfill,Social Media,362712,637 655 5966,Gold,15000,No,,No,DEN,Window,Bulkhead,Diabetic Meal,,,King,Smoking,Manual,Full-size Car,Smoking,572,Yes,78,,0,530875186-936,Gold,572,OnTrip,Experiencing Disruption,1
Contact.021,Account.021,Mr.,Ron,Reid,3262 47th St,San Diego,CA,92105,US,3262 47th St,San Diego,CA,92105,US,(935) 555-0100,(935) 555-0199,(935) 555-0188,935-358-9043,(935) 555-0191,(935) 555-0150,rreid@example.com,"Director, Consulting",Consulting,Ariel Saffold,Social Media,146563,649 795 8660,Silver,15000,Yes,,No,SAN,Aisle,Exit Row,Low Calorie Meal,,,Queen,Don't Care,Automatic,Standard SUV,Don't Care,491,No,74,,1,955214240-530,Silver,491,OnTrip,Experiencing Disruption,1
Contact.022,Account.015,Ms.,Sarah,Jeffries,5815 Fairview Pl N,King,WA,98109,US,5815 Fairview Pl N,King,WA,98109,US,(296) 555-0100,(296) 555-0199,(296) 555-0188,296-276-9024,(296) 555-0191,(296) 555-0150,sjeffries@example.com,"SVP, Marketing Strategy",Marketing,Nicolas Stigall,Cold Call,165030,483 264 8813,Gold,15000,No,,Yes,SEA,Aisle,Forward,Low Calorie Meal,,,Single,Don't Care,Automatic,Economy Car,Don't Care,725,Yes,63,,3,518074457-443,Gold,725,PostTrip,Positive Sentiment,0
Contact.023,Account.020,Mr.,Derek,Rose,6805 15th Ave NW,King,WA,98117,US,6805 15th Ave NW,King,WA,98117,US,(575) 555-0100,(575) 555-0199,(575) 555-0188,575-289-1239,(575) 555-0191,(575) 555-0150,drose@example.com,Credit Manager,Business Development,Stacy Perreault,Cold Call,0,,Non-Member,15000,Yes,,Yes,SEA,Aisle,Exit Row,Regular Meal,,,Queen,Non-Smoking,Don't Care,Any Car Class,Non-Smoking,736,Yes,70,,3,307149655-547,Non-Member,736,PostTrip,Positive Sentiment,0
Contact.024,Account.013,Mr.,Bill,Blau,62 Chatham Pl,San Francisco,CA,94108,US,62 Chatham Pl,San Francisco,CA,94108,US,(867) 555-0100,(867) 555-0199,(867) 555-0188,867-321-5509,(867) 555-0191,(867) 555-0150,bblau@example.com,"VP, IT Operations",IT,Gina Ornelas,Purchased List,316065,785 681 3443,Bronze,15000,No,,Yes,SFO,Aisle,Forward,Kosher Meal,,,Twin,Non-Smoking,Don't Care,Standard SUV,Non-Smoking,547,No,94,,2,143321437-573,Bronze,547,OnTrip,Experiencing Disruption,1
Contact.025,Account.012,Mr.,Jeff,Blay,1678 50th Ave,Alameda,CA,94601,US,1678 50th Ave,Alameda,CA,94601,US,(487) 555-0100,(487) 555-0199,(487) 555-0188,487-756-1793,(487) 555-0191,(487) 555-0150,jblay@example.com,Enterprise Sales Manager,Sales,Ira Harned,Referral,0,,Non-Member,15000,No,,Yes,SFO,Aisle,Forward,Low Calorie Meal,,,Twin,Don't Care,Manual,Economy Car,Don't Care,320,No,31,,5,333539240-812,Non-Member,320,OnTrip,Smooth Travels,0
Contact.026,Account.018,Ms.,Andrea,Bowden,1525 Park Pl,Kings,NY,11213,United States,100 L Street,Boston,MA,2051,United States,(655) 555-0197,(655) 555-0182,(655) 555-0144,210-314-8360,(818) 555-0191,(818) 555-0150,abowden@example.com,Senior Vice President of Sales,Operations,Rodrigo Maness,Cold Call,130646,910 290 7435,Silver,15000,No,,Yes,BOS,Window,Bulkhead,Fruit Platter,,,Twin,Smoking,Manual,Full-size Car,Smoking,454,No,46,,3,282154258-925,Silver,454,OnTrip,Smooth Travels,0
Contact.027,Account.019,Mr.,Ryan,Giggs,405 S Stricker St,Baltimore (city),MD,21223,US,405 S Stricker St,Baltimore (city),MD,21223,US,(266) 555-0100,(266) 555-0199,(266) 555-0188,266-353-8304,(266) 555-0191,(266) 555-0150,rgiggs@example.com,Consulting Practice Director,Consulting,Marina Fairfax,Cold Call,0,,Non-Member,15000,Yes,,Yes,BWI,Aisle,Forward,Kosher Meal,,,Double,Don't Care,Manual,Any Car Class,Don't Care,807,Yes,20,,5,945146931-323,Non-Member,807,PostTrip,Positive Sentiment,0
Contact.028,Account.014,Ms.,Rachel,Morris,4090 Utah St,San Diego,CA,92104,US,4090 Utah St,San Diego,CA,92104,US,(611) 555-0100,(611) 555-0199,(611) 555-0188,611-591-6298,(611) 555-0191,(611) 555-0150,rmorris@example.com,"Manager, Sales Operations",Marketing,Olga Bolin,Cold Call,0,,Non-Member,15000,No,,Yes,SAN,Aisle,Rear,Gluten Free Meal,,,Double,Non-Smoking,Manual,Any Car Class,Non-Smoking,422,No,26,,5,304452534-363,Non-Member,422,PostTrip,Positive Sentiment,0
Contact.029,Account.016,Mr.,Chris,Templey,26 Boot Rd,Delaware,PA,19073,US,26 Boot Rd,Delaware,PA,19073,US,(874) 555-0100,(874) 555-0199,(874) 555-0188,874-966-0932,(874) 555-0191,(874) 555-0150,ctempley@example.com,VP of Sales,Business Development,Shavon Vandoren,Event,252225,465 705 1511,Silver,15000,Yes,,Yes,PHL,Window,Bulkhead,Fruit Platter,,,Double,Smoking,Don't Care,Any Car Class,Smoking,475,No,77,,0,386418430-735,Silver,475,PreTrip,No Future Booking,0
Contact.030,Account.036,Ms.,Judy,Odom,1984 Gufford Dr,New Hanover,NC,28403,US,1984 Gufford Dr,New Hanover,NC,28403,US,(689) 555-0100,(689) 555-0199,(689) 555-0188,689-770-1060,(689) 555-0191,(689) 555-0150,jodom@example.com,Sales Executive,Sales,Alyson Hennings,Purchased List,0,,Non-Member,15000,Yes,,No,CLT,Aisle,Exit Row,Regular Meal,,,King,Don't Care,Manual,Compact Car,Don't Care,399,No,9,,4,274129498-608,Non-Member,399,OnTrip,Experiencing Disruption,1
Contact.031,Account.007,Ms.,Tammy,Reseller,4191 Tamarus St,Clark,NV,89119,US,4191 Tamarus St,Clark,NV,89119,US,(573) 555-0100,(573) 555-0199,(573) 555-0188,573-422-3153,(573) 555-0191,(573) 555-0150,treseller@example.com,Account Executive,Sales,Jeremiah Bruns,Referral,0,,Non-Member,15000,Yes,,No,LAS,Aisle,Exit Row,Regular Meal,,,Disability,Don't Care,Don't Care,Intermediate Car,Don't Care,392,No,24,,5,338875374-778,Non-Member,392,OnTrip,Experiencing Disruption,1
Contact.032,Account.031,Ms.,Allison,Yates,2485 Pershing Dr,San Diego,CA,92101,US,2485 Pershing Dr,San Diego,CA,92101,US,(239) 555-0199,(239) 555-0199,(239) 555-0188,239-624-0010,(239) 555-0191,(239) 555-0150,ayates@example.com,Owner,C-Level,Gordon Braga,Social Media,45766,370 477 2389,Gold,15000,No,,Yes,SAN,Aisle,Exit Row,Kosher Meal,,,Disability,Don't Care,Automatic,Standard SUV,Don't Care,651,Yes,80,,0,474064270-371,Gold,651,OnTrip,Smooth Travels,0
Contact.033,Account.031,Ms.,Erin,Walsh,5628 SE Alder St,Multnomah,OR,97215,US,5628 SE Alder St,Multnomah,OR,97215,US,(925) 555-0100,(925) 555-0199,(925) 555-0188,925-777-1617,(925) 555-0191,(925) 555-0150,ewalsh@example.com,EVP Business Development,Business Development,Lydia Berwick,Cold Call,0,,Non-Member,15000,No,,Yes,PDX,Aisle,Rear,Low Calorie Meal,,,Double,Smoking,Automatic,Full-size Car,Smoking,283,No,86,,2,524683331-479,Non-Member,283,OnTrip,Smooth Travels,0
Contact.034,Account.026,Mr.,Ed,Hennessy,2056 Laurel Ave,Jefferson,TX,77701,US,2056 Laurel Ave,Jefferson,TX,77701,US,(699) 555-0100,(699) 555-0199,(699) 555-0188,699-376-4729,(699) 555-0191,(699) 555-0150,ehennessy@example.com,Owner,C-Level,Justin Teal,Event,219344,102 808 4745,Gold,15000,No,,No,DFW,Aisle,Rear,Fruit Platter,,,King,Smoking,Don't Care,Any Car Class,Smoking,812,Yes,76,,1,887834778-830,Gold,812,PreTrip,Has Future Booking,0
Contact.035,Account.033,Mr.,Billy,Mack,310 Henry St,New York,NY,10002,US,310 Henry St,New York,NY,10002,US,(206) 555-0100,(206) 555-0199,(206) 555-0188,206-775-7013,(206) 555-0191,(206) 555-0150,bmack@example.com,General Counsel,Legal,Trevor Moffett,Event,57447,289 220 1174,Gold,15000,No,,Yes,JFK,Aisle,Exit Row,Diabetic Meal,,,Queen,Smoking,Manual,Intermediate SUV,Smoking,452,No,90,,0,407970395-555,Gold,452,PreTrip,Has Future Booking,0
Contact.036,Account.033,Mr.,Bill,Martin,310 Henry St,New York,NY,10002,US,310 Henry St,New York,NY,10002,US,(673) 555-0100,(673) 555-0199,(673) 555-0188,673-289-3104,(673) 555-0191,(673) 555-0150,bmartin@example.com,Operations Manager,Operations,Rickey Roser,Event,307718,965 145 2670,Silver,15000,No,,No,LGA,Window,Bulkhead,Diabetic Meal,,,Queen,Don't Care,Don't Care,Intermediate SUV,Don't Care,489,No,30,,3,799764331-281,Silver,489,OnTrip,Smooth Travels,0
Contact.037,Account.033,Ms.,Julie,Dillon,310 Henry St,New York,NY,10002,US,310 Henry St,New York,NY,10002,US,(533) 555-0100,(533) 555-0199,(533) 555-0188,533-862-4439,(533) 555-0191,(533) 555-0150,jdillon@example.com,Director of Marketing,N/A,Pete Alonso,Event,0,,Non-Member,15000,Yes,,Yes,JFK,Window,Exit Row,Diabetic Meal,,,King,Non-Smoking,Manual,Intermediate SUV,Non-Smoking,739,Yes,26,,5,612635618-554,Non-Member,739,PostTrip,Positive Sentiment,0
Contact.038,Account.009,Mr,Robert,Fontana,16909 SE Alder St,Multnomah,OR,97233,US,16909 SE Alder St,Multnomah,OR,97233,US,(226) 555-0100,(226) 555-0199,(226) 555-0188,226-936-3140,(226) 555-0191,(226) 555-0150,rfontana@example.com,CEO,C-Level,Carmen Mckillip,Event,0,,Non-Member,15000,Yes,,No,PDX,Aisle,Forward,Low Calorie Meal,,,Double,Smoking,Don't Care,Economy Car,Smoking,269,No,41,,3,692397355-107,Non-Member,269,PreTrip,Has Future Booking,0
Contact.039,Account.033,Mr.,Brad,Owens,310 Henry St,New York,NY,10002,US,310 Henry St,New York,NY,10002,US,(544) 555-0100,(544) 555-0199,(544) 555-0188,544-346-9480,(544) 555-0191,(544) 555-0150,bowens@example.com,EVP Business Development,Business Development,Micah Beall,Event,239290,926 470 1721,Bronze,15000,Yes,,Yes,LGA,Window,Rear,Low Calorie Meal,,,Queen,Don't Care,Manual,Intermediate SUV,Don't Care,406,No,5,,5,503049052-479,Bronze,406,PostTrip,Positive Sentiment,0
Contact.040,Account.033,Mr.,Kyle,Pearson,310 Henry St,New York,NY,10002,US,310 Henry St,New York,NY,10002,US,(903) 555-0100,(903) 555-0199,(903) 555-0188,903-534-1468,(903) 555-0191,(903) 555-0150,kpearson@example.com,"VP, IT Projects",IT,Marcos Albers,Event,319546,997 922 3931,Gold,15000,Yes,,Yes,JFK,Aisle,Rear,Kosher Meal,,,Double,Don't Care,Manual,Compact Car,Don't Care,475,No,71,,1,752812305-355,Gold,475,PreTrip,Has Future Booking,0
Contact.041,Account.033,Ms.,Janice,Bergman,310 Henry St,New York,NY,10002,US,310 Henry St,New York,NY,10002,US,(810) 555-0100,(810) 555-0199,(810) 555-0188,810-606-5717,(810) 555-0191,(810) 555-0150,jbergman@example.com,"VP, Purchasing",Operations,Danelle Beauregard,Referral,68627,597 179 3823,Bronze,15000,No,,No,LGA,Aisle,Bulkhead,Kosher Meal,,,Double,Don't Care,Don't Care,Compact Car,Don't Care,350,No,32,,4,298737652-908,Bronze,350,PostTrip,Positive Sentiment,0
Contact.042,Account.009,Mr,Peter,Foss,16909 SE Alder St,Multnomah,OR,97233,US,16909 SE Alder St,Multnomah,OR,97233,US,(453) 555-0100,(453) 555-0199,(453) 555-0188,453-380-7332,(453) 555-0191,(453) 555-0150,pfoss@example.com,"SVP, Administration and Finance",Finance,Octavio Boan,Social Media,203185,745 986 4383,Gold,15000,No,,Yes,PDX,Window,Exit Row,Diabetic Meal,,,Single,Don't Care,Don't Care,Compact Car,Don't Care,500,No,32,,5,420382247-305,Gold,500,PreTrip,Has Future Booking,0
Contact.043,Account.009,Mr.,Martin,Woodson,16909 SE Alder St,Multnomah,OR,97233,US,16909 SE Alder St,Multnomah,OR,97233,US,(750) 555-0100,(750) 555-0199,(750) 555-0188,750-289-2987,(750) 555-0191,(750) 555-0150,wmartin@example.com,"VP, Product Management",Development,Annemarie Festa,Social Media,0,,Non-Member,15000,Yes,,Yes,PDX,Window,Bulkhead,Fruit Platter,,,Twin,Smoking,Don't Care,Compact Car,Smoking,432,No,94,,1,118223799-504,Non-Member,432,PostTrip,Positive Sentiment,0
Contact.044,Account.030,Mr.,Bjoran,Nabozney,6039 E Northwest Hwy,Dallas,TX,75225,US,6039 E Northwest Hwy,Dallas,TX,75225,US,(373) 555-0100,(373) 555-0199,(373) 555-0188,373-391-5243,(373) 555-0191,(373) 555-0150,bnabozney@example.com,Account Executive,Sales,Laron Dexter,Cold Call,0,,Non-Member,15000,No,,Yes,DFW,Window,Rear,Low Calorie Meal,,,Twin,Smoking,Manual,Intermediate Car,Smoking,515,No,24,,5,931586136-777,Non-Member,515,PreTrip,Has Future Booking,0
Contact.045,Account.008,Mr.,Chris,Friedman,3418 Poplar Ave,Shelby,TN,38111,US,3418 Poplar Ave,Shelby,TN,38111,US,(227) 555-0100,(227) 555-0199,(227) 555-0188,227-717-1859,(227) 555-0191,(227) 555-0150,cfriedman@example.com,General Counsel,Operations,Jaime Asencio,Event,164694,215 306 9484,Gold,15000,Yes,,No,MEM,Aisle,Bulkhead,Fruit Platter,,,Disability,Smoking,Automatic,Intermediate Car,Smoking,595,Yes,79,,1,273475700-778,Gold,595,OnTrip,Experiencing Disruption,1
Contact.046,Account.009,Mr.,Richard,O'Brien Jr,16909 SE Alder St,Multnomah,OR,97233,US,16909 SE Alder St,Multnomah,OR,97233,US,(726) 555-0100,(726) 555-0199,(726) 555-0188,726-908-6641,(726) 555-0191,(726) 555-0150,robrien@example.com,Chief Executive Officer,C-Level,Sofia Ureno,Cold Call,284285,209 642 1545,Gold,15000,No,,No,PDX,Aisle,Forward,Diabetic Meal,,,Single,Smoking,Manual,Standard Car,Smoking,771,Yes,9,,5,449376282-617,Gold,771,PreTrip,Has Future Booking,0
Contact.047,Account.009,Mr.,Joseph,Gillespie,16909 SE Alder St,Multnomah,OR,97233,US,16909 SE Alder St,Multnomah,OR,97233,US,(323) 555-0100,(323) 555-0199,(323) 555-0188,323-511-7911,(323) 555-0191,(323) 555-0150,jgillespie@example.com,Chief Marketing Officer,C-Level,Felix Na,Referral,342050,971 240 1236,Bronze,15000,Yes,,No,PDX,Aisle,Bulkhead,Kosher Meal,,,Disability,Smoking,Don't Care,Any Car Class,Smoking,522,No,80,,0,159261427-337,Bronze,522,PostTrip,Positive Sentiment,0
Contact.048,Account.008,Dr.,Brenda,Mcclure,3418 Poplar Ave,Shelby,TN,38111,US,3418 Poplar Ave,Shelby,TN,38111,US,(415) 555-0100,(415) 555-0199,(415) 555-0188,415-671-2897,(415) 555-0191,(415) 555-0150,bmcclure@example.com,CFO,C-Level,Carmen Hornsby,Social Media,60693,857 367 6351,Gold,15000,No,,Yes,BNA,Aisle,Bulkhead,Regular Meal,,,King,Don't Care,Manual,Any Car Class,Don't Care,739,Yes,88,,0,382070023-735,Gold,739,PreTrip,Has Future Booking,0
